20.727.801-7,Soto,Camila,10000
13.744.854-8,Romero,Paola,10001
19.906.820-2,Barraza,Gloria,10002
13.668.136-2,Solar,Rubén,10003
19.416.129-8,Ortiz,Juan,10004
17.536.477-3,Osses,Sergio,10005
15.708.456-9,Flores,Sofía,10006
11.714.803-3,Romero,Jaime,10007
24.218.596-K,Valenzuela,Felipe,10008
22.242.867-K,Parra,Sophia,10009
11.322.047-3,Ramos,Eugenia,10010
21.820.753-7,Dinamarca,María,10011
11.338.687-8,Naranjo,Rosario,10012
17.606.962-7,Galleguillos,Saúl,10013
13.514.944-6,Escobar,Jorge,10014
18.961.380-6,Ortiz,Víctor,10015
14.528.972-6,Vera,María,10016
23.787.559-1,Vargas,Dolores,10017
11.110.460-3,Aguilera,Flor,10018
20.996.436-8,Cubillos,Emilia,10019
14.443.951-1,Sáez,Celestino,10020
14.408.072-6,Sepúlveda,Belén,10021
13.679.591-0,Labra,Valentina,10022
22.679.920-6,Sanhueza,Lucas,10023
23.288.886-5,Rojas,Omar,10024
16.402.509-8,Yáñez,Mateo,10025
24.441.486-9,Martínez,Michelle,10026
22.894.946-9,Pérez,Edson,10027
12.653.446-9,Aguilar,Manuel,10028
22.783.604-0,Reyes,Ángela,10029
24.120.868-0,Aedo,Luis,10030
19.049.278-8,Aguilar,Sofía,10031
10.326.765-K,Olivares,Ángel,10032
10.971.823-8,Bustos,Mateo,10033
22.279.371-8,Fuentes,Wilfredo,10034
12.154.051-7,Gutiérrez,Lidia,10035
18.852.897-K,Cifuentes,Ricardo,10036
21.961.298-2,Cortés,Miguel,10037
25.093.019-4,Díaz,Alfonso,10038
11.074.176-6,Moyano,Roberto,10039
13.860.684-8,Díaz,Mariluz,10040
13.841.005-6,Vargas,Víctor,10041
18.626.108-9,Oliva,Benedicto,10042
19.046.844-5,Bravo,Silvana,10043
14.076.817-0,Urra,Claudia,10044
11.626.229-0,Arias,Arturo,10045
17.835.373-K,Ojeda,Gisselle,10046
22.217.396-5,Rosales,José,10047
13.191.175-0,Ponce,Miguel,10048
14.673.212-7,López,Danny,10049
23.556.363-0,Rodríguez,Luis,10050
11.564.689-3,Sánchez,Josefa,10051
18.075.854-2,Barrientos,Luz,10052
16.358.113-2,Ulloa,Patricia,10053
14.785.687-3,Ruiz,Matías,10054
13.185.957-0,Arce,Eliseo,10055
11.022.698-5,Romero,Juan,10056
18.436.429-8,González,Felipe,10057
24.283.157-8,Villarroel,Damián,10058
21.328.186-0,Abarca,Daniela,10059
14.130.808-4,Gallardo,Josefa,10060
21.028.891-0,Díaz,José,10061
14.004.485-7,Fierro,Marlene,10062
17.670.955-3,Zambrano,Andrés,10063
20.421.322-4,Sepúlveda,Carla,10064
18.487.336-2,Herrera,Luis,10065
24.751.706-5,Santander,Yessica,10066
17.351.517-0,Valderrama,Tania,10067
21.204.885-2,Valenzuela,Víctor,10068
11.936.571-6,Oyarzún,Ana,10069
14.727.085-2,Orellana,Mireya,10070
18.479.356-3,Sepúlveda,Sonia,10071
20.641.527-4,Loyola,Hortensia,10072
15.596.150-3,Briones,Vanesa,10073
19.255.661-9,González,Paloma,10074
11.262.382-5,Carrasco,Edith,10075
19.772.888-4,Rubio,Alba,10076
15.171.716-0,Briones,Johan,10077
21.443.180-7,Fuenzalida,Matías,10078
24.833.318-9,Segovia,Ana,10079
24.505.676-1,Espinoza,Noemí,10080
13.009.172-5,Henríquez,Aníbal,10081
12.670.896-3,Vilches,Carmen,10082
13.731.818-0,González,Cristian,10083
23.766.316-0,Carrasco,Camila,10084
16.685.149-1,Galdames,Consuelo,10085
15.891.254-6,Cuevas,Felipe,10086
11.935.113-8,Allende,Alejandra,10087
10.641.849-7,Oñate,Gabriela,10088
22.222.957-K,Veloso,Luis,10089
11.940.214-K,Valladares,Carolina,10090
10.744.682-6,Rodríguez,Matías,10091
21.523.550-5,Lobos,Javier,10092
25.919.472-5,Salas,Diego,10093
22.075.472-3,Vega,Teresa,10094
15.472.441-9,Castro,Anahí,10095
13.218.542-5,González,Ingrid,10096
15.049.101-0,Ortega,Fanny,10097
14.813.613-0,Andrade,Belén,10098
17.801.207-K,Riquelme,Eliana,10099
